"","Gene_name","WT1","WT3","WT4","muMT3","muMT1"
"2528","Ankrd33b",5,6,10,8,1
"2529","Ankrd34a",4,3,3,2,1
"2530","Ankrd34b",4,3,4,4,4
"2531","Ankrd34c",0,0,0,0,0
"2532","Ankrd35",0,1,0,0,0
"2533","Ankrd36",0,0,0,0,0
"2534","Ankrd37",6,9,8,5,9
"2535","Ankrd39",0,0,0,0,0
"2536","Ankrd40",2,7,6,1,2
"2537","Ankrd42",0,0,0,0,0
"2538","Ankrd44",0,0,0,0,0
"2539","Ankrd45",1,3,2,2,0
"2540","Ankrd46",0,1,1,5,1
"2541","Ankrd49",1,0,0,0,1
"2542","Ankrd50",0,5,1,2,0
"2543","Ankrd52",4,2,2,1,1
"2544","Ankrd53",2,5,14,13,7
"2545","Ankrd54",0,0,0,0,0
"2546","Ankrd55",0,0,0,0,0
"2547","Ankrd6",14,14,18,14,8
"2548","Ankrd60",0,0,0,0,0
"2549","Ankrd61",0,0,1,2,0
"2550","Ankrd63",0,1,1,0,2
"2551","Ankrd66",0,0,0,0,0
"2552","Ankrd7",0,0,0,0,0
"2553","Ankrd9",0,0,0,0,0
"2554","Anks1",4,4,2,4,1
"2555","Anks1b",4,7,12,7,0
"2556","Anks3",3,5,4,0,3
"2557","Anks4b",0,0,0,0,0
"2558","Anks6",0,0,1,0,0
"2559","Ankzf1",57,102,122,99,72
"2560","Anln",1,0,2,1,0
"2561","Ano1",0,0,0,0,0
"2562","Ano10",0,0,0,0,0
"2563","Ano2",0,1,0,0,0
"2564","Ano3",3,14,21,14,2
"2565","Ano4",2,4,6,3,4
"2566","Ano5",3,0,1,0,2
"2567","Ano6",0,1,1,0,0
"2568","Ano7",0,0,0,0,0
"2569","Ano8",65,93,93,92,73
"2570","Ano9",0,0,0,0,0
"2571","Anp32a",67,122,145,116,75
"2572","Anp32b",64,104,106,116,77
"2573","Anp32e",7,15,20,4,1
"2574","Anpep",0,0,0,0,0
"2575","Antxr1",0,0,0,2,0
"2576","Antxr2",0,1,1,0,0
"2577","Antxrl",0,0,0,0,0
"2578","Anxa1",0,0,0,2,0
"2579","Anxa10",0,0,0,0,0
"2580","Anxa11",6,5,7,4,6
"2581","Anxa13",0,0,2,0,1
"2582","Anxa2",0,1,0,0,0
"2583","Anxa3",0,0,0,0,0
"2584","Anxa4",4,7,15,5,5
"2585","Anxa5",4,13,8,6,2
"2586","Anxa6",1,2,5,2,1
"2587","Anxa7",1,0,2,4,2
"2588","Anxa8",0,0,0,0,0
"2589","Anxa9",6,12,12,7,15
"2590","Aoah",0,0,0,0,0
"2591","Aoc2",0,0,0,0,0
"2592","Aoc3",0,0,0,0,0
"2593","Aox1",0,0,0,0,0
"2594","Aox3",0,0,0,0,0
"2595","Aox3l1",0,0,0,0,0
"2596","Aox4",0,0,0,0,0
