"","Veh1","Veh2","STZ1","STZ2","STZ3"
"Rpl3l",8,30,15,4,21
"Slc9a3r2",1469,1394,1509,1434,1225
"Puf60",5740,5847,6241,5705,5726
"Golga2",7259,6954,8138,7445,7095
"Uck1",2002,1972,2390,1962,2093
"Scin",120,85,118,53,110
"Ikzf4",1504,1608,1609,1606,1618
"Mien1",1540,1555,1826,1582,1700
"Pon1",44,41,2,2,0
"Axl",3312,3557,3572,3737,4690
"Tgfb1",291,335,301,298,674
"Ccdc97",2611,2517,2787,2511,2515
"Zfp40",3159,2811,3292,3248,3170
"Akap8l",7340,6397,8061,7376,6430
"Shh",90,129,143,129,123
"Pdcd2l",667,716,711,669,704
"Gtf2f1",2750,2886,3267,2921,2914
"Clpp",1664,1533,1701,1544,1664
"Alkbh7",385,448,422,383,350
"Pspn",0,2,0,1,3
"Dennd1c",65,94,82,71,120
"Med6",1018,875,1046,959,988
"Prkd1",1560,1623,1604,1645,1707
"Lcp2",234,290,320,257,609
"Cse1l",6309,5859,6542,6035,6087
"Naa20",2644,2625,2836,2572,2724
"Prkra",919,934,1071,865,975
"Fkbp7",157,188,187,179,170
"Plekha3",3757,2850,3401,3248,3410
"Ykt6",3860,3433,4239,3792,4038
"Baz1b",18027,15005,18019,17078,17863
"Pex6",3519,3543,3883,3277,3459
"Mrpl2",1041,1019,1011,1015,992
"Mea1",2027,2105,2293,2067,2149
"Gnmt",69,73,24,14,14
"Grin2d",1198,1281,1385,1155,1085
"Kdelr1",2567,2665,2683,2487,2599
"Tmem143",1092,1052,1148,1047,1069
"Pdxk-ps",6,7,8,9,6
"Ggct",1097,938,1027,1020,1060
"Jag2",2030,2311,2379,2237,2006
"Btbd6",2307,2435,2736,2531,2417
"Nudt14",285,323,269,215,250
"Epdr1",7847,7211,7736,7131,7618
"Flii",4230,4383,4613,4253,4284
"Top3a",666,597,712,689,662
"Atg4d",1360,1247,1309,1315,1191
"Qtrt1",579,545,625,549,534
"Plin4",1578,306,863,936,429
"Hdgfrp2",4893,4686,5403,4871,4413
"Chaf1a",330,349,442,394,340
"Adprh",3225,3380,3550,3180,3408
"Tmem39a",862,781,822,873,864
"Timmdc1",1360,1351,1433,1192,1336
"Pla1a",87,21,69,65,69
"Mcm2",274,361,350,275,348
"Tpra1",1294,1165,1257,1222,1267
"Nab1",3202,3004,3809,3311,3416
"Adgre5",401,560,538,486,684
"Il17ra",691,838,948,922,829
"Lamb1",4915,4938,4039,3648,4931
"Kcnn1",1026,894,1185,986,1019
"Arrdc2",562,468,558,644,452
"Ppp1r17",15,37,6,14,15
"Cd36",136,178,197,78,1509
"Map2k7",5261,5177,5518,5516,5094
"Timm44",2931,2813,3340,3341,2979
"Ap2a2",22054,20987,23721,20362,22206
"Pnkp",1066,1198,1166,1252,1164
"Med25",3578,3859,3804,3596,3390
"Bcam",579,901,502,498,336
"Clptm1",9504,9949,9872,8897,9244
"Relb",453,512,436,446,517
"Tomm40",3491,3562,4093,3318,3331
"Apoe",61320,67268,63056,63047,123042
"Apoc2",0,0,4,0,101
"Hbp1",2990,2842,3076,2848,3049
"Prkar2b",3189,3002,4153,3752,3141
"Cdkn1b",4925,3897,4394,4091,4712
"Klf4",211,357,251,311,186
"Ap1m1",3717,3585,4106,3733,3776
"Rab8a",1993,2062,2176,2058,2242
"Hmgn2",3150,3348,3446,3354,3366
"Fam32a",4208,3882,4725,4402,4618
"Elf3",4,14,8,6,6
"Cyp2c29",0,0,0,0,0
"Stard3nl",2610,2731,2809,2634,2826
"Stk11",3993,3884,4282,3901,3767
"Efna2",491,477,478,416,452
"Atp5d",6889,7269,7235,6425,6538
"Ppp5c",5965,5793,6242,5802,5668
"Cdk12",7148,6695,8135,7448,7115
"Lipe",538,540,532,440,492
"Pafah1b2",17542,16756,18748,17025,17277
"Tbc1d8",1070,1242,1498,1459,1276
"Cnot11",2349,2313,2491,2343,2188
"Slc2a3",9629,8966,10360,9272,9380
"Foxj2",3522,3705,4050,3714,3558
"Sri",4005,3926,4055,4001,3871
"Dgcr2",4415,4042,4775,4260,4300
"Mical3",3692,3253,3869,3786,3386
"Irf3",1186,981,1148,976,1075
"Bcl2l12",107,101,86,91,91
"Zfp959",490,527,611,482,503
"Mpnd",3332,3166,3560,3339,3248
"Sh3gl1",1946,1734,1857,1840,1999
"Ebi3",36,39,48,25,60
"Ccdc94",420,368,433,328,328
"Ranbp2",32298,30192,33918,31656,32796
"Edar",23,27,7,8,10
"Grk5",1086,1005,1216,946,1002
"Dvl3",3150,3223,3082,3070,2774
"Abcf3",3969,3772,4151,3952,3963
"Eif2b5",3417,3260,3472,3127,3141
"Cyth2",3722,3411,3947,3782,3626
"Sult2b1",306,238,262,339,249
"Car11",4320,4192,4999,4750,4478
"Dlgap1",65639,57839,68502,65617,63100
"Plag1",726,659,860,766,778
"Hck",109,87,158,130,285
"Mrpl4",1731,1813,1811,1735,1752
"Keap1",4077,4036,4437,4255,4095
"Ap1m2",32,74,82,55,28
"Glg1",25235,24467,26540,24077,25075
"Atp8b3",13,20,21,13,8
"Btbd2",4320,4141,4625,4019,4339
"Csnk1g2",6708,6285,7307,6297,6408
"Abhd17a",4768,4634,4984,4901,4600
"Mob3a",629,599,676,546,687
"Cacnb3",10554,9746,11418,10221,10481
"Ccdc65",365,438,522,384,382
"Fkbp11",27,34,21,14,27
"Ddx23",5364,5173,5953,5215,5265
"Pld3",22732,22028,24687,23833,22860
"Grik5",17626,17097,18595,17556,16568
"Cd79a",20,7,16,20,12
"Rabac1",3568,3987,3745,3240,3566
"Etv3",3149,3349,3310,3491,3562
"Prkcsh",4445,4169,4461,4053,4375
"Elavl3",18423,16513,19837,17386,17982
"Rab3b",2062,2255,2892,2271,2381
"St8sia6",1016,864,794,855,1019
"Fcgrt",641,888,701,744,692
"Nosip",1911,1803,2067,1944,1944
"Pih1d1",768,990,969,900,824
"Rps11",7857,7490,8814,7776,8754
"Supt5",9354,9542,10648,9323,9445
"Dll3",78,79,85,79,89
"Paf1",3661,3556,3742,3577,3526
"Timm50",951,977,1056,887,1027
"Med29",457,498,498,440,464
"Bicd1",12777,10761,14002,12778,12235
"Ncstn",3610,4203,4009,3618,3792
"Pex19",4532,4592,5042,4375,4616
"Phyhip",26855,25545,28835,27164,27674
"Crhr2",247,349,144,124,133
"Inmt",61,103,18,60,18
"Cyp4f18",2,9,6,8,100
"Impdh1",2046,1745,2249,2065,1795
"Psg18",0,0,1,0,0
"Dusp3",12729,12779,13723,13578,12500
"Prodh",1833,1447,1934,1894,1434
"Dgcr14",1492,1480,1642,1655,1414
"Slc25a1",1473,1604,1669,1398,1540
"Dgcr6",1265,1407,1386,1250,1203
"Ddr1",4460,5402,4502,4241,4871
"Ier3",132,134,176,162,160
"Fosb",338,377,333,598,453
"Klc4",1102,1149,1233,1007,1134
"Ercc1",925,886,1034,890,879
"Cyp17a1",0,4,4,0,0
"As3mt",465,592,554,577,573
"Homer3",3168,2857,2782,2332,3275
"Crtc1",18277,16796,18160,17537,18061
"Rnf215",1192,1322,1464,1411,1276
"Sec14l2",3567,3155,3382,3415,3504
"Aven",619,489,561,539,469
"Cp",1441,2013,2123,1874,3613
"Crot",3045,2799,3100,2955,3091
"Rps6ka1",827,976,993,1075,1153
"Calb2",1580,1545,1769,1114,1414
"Snrnp200",14915,14963,16017,14465,15406
"Ciao1",3094,2881,3034,2959,2943
"Has1",45,22,46,15,29
"Taf6l",911,923,954,948,950
"Insig2",3951,3744,4008,3573,3942
"Kpna6",10615,9929,11398,10003,10371
"Man1a",9656,8901,10341,8667,9051
"Itpkc",710,662,791,627,632
"Adck4",1455,1324,1464,1181,1218
"Brd8",6060,5757,6743,6361,6193
"Kif20a",40,34,31,30,73
"Farsa",2089,2059,2257,2202,1891
"Gcdh",1914,1692,2043,1654,1868
"Mast2",11645,10949,12965,11374,10767
"Dnase2a",260,331,242,225,469
"Rad23a",3261,3175,3321,3297,2924
"Calr",26986,22787,29687,19100,26290
"Syce2",291,207,252,225,210
"Nfat5",21426,21034,22882,21742,21815
"Nob1",1516,1482,1532,1420,1497
"Nqo1",356,412,216,262,215
"Ppfia3",12488,12252,14087,13504,12887
"Gys1",1422,1388,1340,1202,1224
"Ruvbl2",1469,1335,1576,1272,1528
"Lin7b",1860,1755,2205,2020,1799
"Bax",992,953,1049,954,1133
"Il7r",42,37,41,45,290
"Tfam",2724,2681,2890,2805,2660
"Zfp81",4455,3892,4758,4356,4393
"Efnb3",7801,8940,8815,7149,7982
"Mmd",26549,25097,26863,22714,26461
"Hlf",17409,15105,17620,19119,15989
"Fam162a",1336,1259,1401,1288,1379
"Rpl8",10447,10820,11506,10838,11349
"Grm3",6639,7038,7810,8182,6201
"Ssbp2",7773,7444,8851,7923,7520
"Fancl",676,627,733,654,685
"Brinp2",7114,6335,7969,7256,6970
"Gstm5",6025,5634,6018,5943,6074
"Gstm7",1114,945,978,932,943
"Gstm3",4,0,4,1,0
"Stat3",3478,3559,3569,3560,4309
"Stat5a",140,221,112,117,140
"Ptrf",1165,1818,1451,1323,1334
"Map3k11",1443,1595,1547,1404,1573
"Akt2",5212,5875,5810,4940,5515
"Dnaja3",4483,4305,4806,4086,4410
"Hmox2",3697,3629,3910,3515,3764
"Cdip1",13420,12825,14045,12891,13213
"Zak",2171,1941,1833,1819,2005
"Cwc15",3116,2741,3467,2948,3222
"Col5a3",279,337,352,213,347
"Dnmt1",4446,4125,4995,4471,4586
"Ppan",812,874,943,867,818
"Angptl2",425,809,151,157,170
"Cacna1e",79418,73145,89114,78460,82549
"Cacna1b",15201,14957,17340,16350,15619
"Trmt10a",515,451,567,504,515
"Etv1",12274,11635,13840,9765,11535
"Kifc2",22111,20622,24154,24004,20765
"Psap",70896,73145,71201,64302,78955
"Ikbkg",3952,3976,4539,4126,4312
"Pax2",10,19,3,27,23
"Wars2",946,937,984,991,970
"Atn1",13067,13545,13841,13214,13105
"Phb2",3577,3320,3909,3159,3631
"Ptpn6",204,275,324,303,672
"Eno2",43164,41325,48360,42580,41493
"Emg1",1433,1390,1387,1302,1375
"Lpcat3",949,1026,1125,971,1152
"Atp6v1f",3299,3584,3817,3025,3483
"Il12b",0,0,0,2,10
"Clcn5",1495,1544,1549,1528,1347
"Clcn3",23170,21671,24539,22741,22965
"Hif3a",1337,545,1062,1572,465
"Gpx6",0,0,2,6,0
"Gpx5",0,0,0,0,0
"Pde1c",1256,1355,1373,1195,1134
